time,iowait,busy,hwCCRInit,hwCCAInit,hwCCRUpdate,hwCCAUpdate,hwCCRTerm,hwCCATerm,hwCCREvent,hwCCAEvent,totalMsg,totalFail,totalSucc,TPS,Caps,AverageTime,MaxDelays,ER_118010161_1212,ER_412020474_0,ER_412020002_52442,ER_118010103_0,ER_0_59090795,ER_118013201_25286,hwCCREvent,hwCCAEvent,totalMsg,totalFail,totalSucc,TPS,Caps,AverageTime(ms),MaxDelays(ms),E_OnlineVoiceEvent,E_OnlineGprsEvent,DiamBalanceQueryEvent,hwCCREvent,hwCCAEvent,totalMsg,totalFail,totalSucc,TPS,Caps,AverageTime(ms),MaxDelays(ms),ER_118013105_536,ER_118013107_145,ER_0_221059,ER_118010202_51548,ER_118013201_1012,ER_118010106_0,ER_118013013_5101,SuccessRate(%),hwCCRInit,hwCCAInit,hwCCRUpdate,hwCCAUpdate,hwCCRTerm,hwCCATerm,hwCCREvent,hwCCAEvent,totalMsg,totalFail,totalSucc,TPS,Caps,AverageTime(ms),MaxDelays(ms),ER_118013972_9123,ER_118013105_21604,ER_118013106_248,ER_118013107_0,ER_412020002_0,ER_0_4983593,ER_118010103_0,ER_118010202_141586,ER_118013201_2323,ER_118013004_8,ER_412220053_0,ER_118010106_159,ER_118013013_0,SuccessRate
1480553220,0.23,20.48,1573,1573,30746,30746,1655,1655,0,0,33974,48,33926,566,26,7,65,0,0,34,0,38745,16,109,108,109,0,108,1,1,25,66,6,24,2,137,137,137,21,116,2,2,6,10,1,0,90,17,0,0,1,82.57,184,184,101,101,157,157,0,0,442,17,425,7,3,6,22,0,0,0,0,0,425,0,17,0,0,0,0,0,96.15
1480553280,1.71,23.34,1586,1586,30131,30132,1713,1713,0,0,33430,22,33409,557,26,7,58,0,0,15,0,38210,9,95,96,95,0,96,1,1,26,47,0,22,0,123,123,123,15,108,2,2,6,25,3,0,73,9,0,0,1,84.88,176,176,106,106,170,170,0,0,452,26,426,7,2,6,46,2,5,0,0,0,426,0,19,0,0,0,0,0,94.25
1480553340,2.25,23.3,1545,1545,30388,30390,1689,1688,0,0,33622,38,33585,560,25,7,62,0,0,27,0,38325,15,95,95,95,0,95,1,1,25,60,0,,1,107,107,107,19,88,1,1,6,10,0,0,55,15,0,0,2,76.39,180,180,115,115,140,140,0,0,435,31,404,7,3,6,41,1,4,0,0,0,404,0,26,0,0,0,0,0,92.87
1480553400,2.26,24.29,1588,1587,30114,30114,1717,1718,0,0,33419,32,33387,556,26,7,58,0,0,29,0,38161,7,90,90,90,0,90,1,1,24,54,6,16,1,114,114,114,25,89,1,1,6,22,1,0,63,21,0,0,1,73.26,178,178,91,91,172,172,0,0,441,17,424,7,2,6,43,1,0,0,0,0,424,0,16,0,0,0,0,0,96.15
1480553460,2.21,22.52,1645,1646,29735,29735,1772,1772,0,0,33152,31,33122,552,27,7,57,0,0,27,0,37794,8,82,82,82,0,82,1,1,25,65,0,28,0,114,114,114,23,91,1,1,6,10,1,0,62,20,0,0,2,72.94,159,159,97,97,135,135,0,0,391,18,373,6,2,6,11,0,1,0,0,0,373,0,17,0,0,0,0,0,95.4
1480553520,2.23,22.78,1527,1527,29755,29753,1687,1687,0,0,32969,40,32927,549,25,7,59,6,0,33,0,37663,9,75,75,75,0,75,1,1,28,54,1,1,0,92,92,92,21,71,1,1,6,10,0,0,46,19,0,0,0,70.77,157,157,99,99,150,150,0,0,406,11,395,6,2,6,33,2,2,0,0,0,395,0,7,0,0,0,0,0,97.29
1480553580,0.61,21.71,1597,1596,29867,29868,1694,1694,0,0,33158,37,33121,552,26,7,58,0,0,33,0,37827,13,81,81,81,0,81,1,1,28,90,0,26,1,80,80,80,17,63,1,1,5,11,0,0,40,15,0,0,1,71.43,151,151,85,85,140,140,0,0,376,19,357,6,2,6,51,1,2,0,0,0,357,0,15,1,0,0,0,0,94.95
1480553640,0.26,20.35,1473,1474,29782,29783,1663,1662,0,0,32918,36,32883,548,24,7,60,0,0,32,0,37556,10,71,71,71,0,71,1,1,26,44,0,4,1,100,100,100,24,76,1,1,6,11,0,0,54,23,0,0,1,69.23,189,189,106,106,155,155,0,0,450,21,429,7,3,6,12,3,1,0,0,0,429,0,16,1,0,0,0,0,95.33
1480553700,0.32,20.93,1503,1503,29721,29719,1666,1667,0,0,32890,32,32857,548,25,7,71,0,0,24,0,37553,16,80,80,80,0,80,1,1,25,59,18,4,0,99,99,99,28,71,1,1,6,10,0,0,49,24,0,0,2,65.33,168,168,91,91,147,147,0,0,406,15,391,6,2,6,35,1,1,0,0,0,391,0,13,0,0,0,0,0,96.31
1480553760,0.27,21.03,1521,1521,29690,29689,1721,1721,0,0,32932,35,32896,548,25,7,57,0,0,27,0,37581,10,91,91,91,0,91,1,1,25,46,0,,3,105,105,105,30,75,1,1,6,9,0,0,48,28,0,0,1,62.34,179,179,84,84,176,175,0,0,439,25,413,7,2,5,35,2,3,0,0,0,413,0,20,0,0,0,0,0,94.29
